"Academic Conference Name
(academic only please)","Location
(Keep sorted alpha please)",Region,Dates,Notes,Announcement Link,Estimated # of Attendees (do not remove or hide column),Source of Attendee Estimate,Contact ,Phone number,2nd Contact,Address,Email address
International Society for Equitation Science (ISES),"Gloucester, United Kingdom",Europe,"August 11-14, 2020",Postponed to 2021,https://www.hartpury.ac.uk/events/2020/08/postponed-international-society-for-equitation-science-conference-2020/,,,,,,,
Our Coastal Futures,"Gold Coast, Australia",Oceania,"October 19-22, 2020",Postponed to date TBD,http://www.coastalfuturesconference.com/,,,,,,,
International Congress on Infectious Diseases,"Kuala Lumpur, Malaysia",Asia,"September 10-13, 2020",Moving to 2021 -- dates TBA,https://www.icid.isid.org/,,,,,,,
Force11 Scholarly Communication Institute (FSCI) 2020,"Los Angeles, CA, USA",Americas,"August 3-7, 2020",Canceled considering online delivery ,https://www.force11.org/fsci/2020,,,,,,,
International Association for Research on Service-Learning and Community Engagement,"Minneapolis, MN, USA",Americas,"November 11-13, 2020","Postponed until Fall 2021 in Minneapolis, MN",Email list-serv,,,,,,,
Engagement Scholarship Consortium conference,"Philadelphia, PA, USA",Americas,"September 15-16, 2020",Postponed to fall 2021,Email list-serv,,,,,,,
Society for the Scientific Study of Religion / Religious Research Association,"Pittsburgh, PA, USA",North America,"October 23-25, 2020","Email announcing cancellation sent to members on June 29, 2020",,,,,,,,
Advances in Marine Ecosystem Modelling Research,Plymouth (UK),Europe,"July 13-16, 2020",postponed to 2021,https://www.amemr.com/,,,,,,,
American Sociological Association,"San Francisco, CA, USA",Americas,"August 8-11, 2020","Cancelled in person; attempting to plan ""options for virtual engagement""",https://www.asanet.org/news-events/asa-news/2020-asa-annual-meeting-san-francisco-cancelled,"4,600 presenters",https://www.asanet.org/annual-meeting-2020,,,,,
International Visual Literacy Conference,"Toledo, OH, USA",Americas,"September 24–27, 2020",Will be held virtually,https://ivla.org/conference/call-for-proposals/,,,,,,,
North American Society for the Study of Romanticism,"Toronto, Ontario, Canada",Americas,"August 6-9, 2020",Cancelled,http://sites.utoronto.ca/wincs/nassr2020/,,,,,,,
STEM 2020 ,"Vancouver, BC, Canada",North America,"July 9-11, 2020",Postponed for a year,http://stem2020.ubc.ca/,,,,,,,
2020 National Ryan White Conference,"Washington DC, USA",North America,"August 9-14, 2020",Will be held virtually,ryanwhiteconference.hrsa.gov,4000-5000,Conference website,,,,,
American Psychological Association,"Washington DC, USA",North America,"August 6-9, 2020",Will be held virtually,https://convention.apa.org,,,,,,,
Association for Jewish Studies,"Washington DC, USA",North America,"December 13-15, 2020","Moved entirely online, dates December 13-17, 2020",https://www.associationforjewishstudies.org/2020-annual-conference/conference-update,,,,,,,
Australian Anthropological Society - Association of Social Anthropologists of Aotearoa New Zealand Joint Conference,"Wellington, New Zealand",Oceania,"December 8-12, 2020",Postponed to November/December 2021.,https://www.asaanz.org/blog/unsettlingperipherpies2020postponed,,,,,,,
Alliance for the Study of Adoption and Culture,"Winnipeg, Manitoba, Canada",North America,October 2020,Postponed for a year,,,,,,,,
The Association for Rural & Small Libraries (ARSL) 2020 Conference,"Witchita, KS, USA",North America,"September 30 - October 3, 2020",Will be held virtually,https://arsl.memberclicks.net/2020-conference,,,,,,,
